p,scenario,trial,seed,n_transmissions,conclusive_count,conclusive_fraction,qber,exact_qber,difference_from_exact,exact_conclusive_probability,difference_conclusive
0.04,single,38,1103464530,1000,242,0.242,0.03305785123966942,0.050632911392405035,-0.017575060152735612,0.26333333333333325,-0.02133333333333326
0.04,single,39,624007707,1000,247,0.247,0.04048582995951417,0.050632911392405035,-0.010147081432890864,0.26333333333333325,-0.016333333333333255
0.04,single,40,2533578473,1000,289,0.289,0.06228373702422145,0.050632911392405035,0.011650825631816415,0.26333333333333325,0.025666666666666726
0.04,single,41,1886014803,1000,259,0.259,0.07335907335907337,0.050632911392405035,0.02272616196666833,0.26333333333333325,-0.004333333333333245
0.04,single,42,2902901384,1000,260,0.26,0.05,0.050632911392405035,-0.000632911392405032,0.26333333333333325,-0.0033333333333332438
0.04,single,43,2930008243,1000,276,0.276,0.050724637681159424,0.050632911392405035,9.172628875438876e-05,0.26333333333333325,0.01266666666666677
0.04,single,44,895165804,1000,243,0.243,0.04526748971193416,0.050632911392405035,-0.005365421680470876,0.26333333333333325,-0.02033333333333326
0.04,single,45,2807078676,1000,265,0.265,0.03018867924528302,0.050632911392405035,-0.020444232147122016,0.26333333333333325,0.0016666666666667607
0.04,single,46,2020885406,1000,261,0.261,0.04980842911877394,0.050632911392405035,-0.0008244822736310914,0.26333333333333325,-0.002333333333333243
0.04,single,47,2902853131,1000,275,0.275,0.05818181818181818,0.050632911392405035,0.007548906789413147,0.26333333333333325,0.01166666666666677
0.04,single,48,537973754,1000,263,0.263,0.057034220532319393,0.050632911392405035,0.006401309139914359,0.26333333333333325,-0.0003333333333332411
0.04,single,49,2391824573,1000,307,0.307,0.03257328990228013,0.050632911392405035,-0.018059621490124904,0.26333333333333325,0.04366666666666674
0.04,single,50,1274765142,1000,281,0.281,0.060498220640569395,0.050632911392405035,0.00986530924816436,0.26333333333333325,0.017666666666666775
