d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.68,0.68,0.68,2,0.000000000000000e+00,3.612672000000001e-04,4.920035555555619e-03,4.975399822222222e-01,7.468889983905148e-03,9.866562493133528e-03,False,True,0.68
0.69,0.69,0.69,1,0.000000000000000e+00,2.864896000000001e-04,4.767150399999996e-01,2.616424799999999e-01,6.745820324330307e-01,9.534302521705343e-01,False,True,0.69
0.69,0.69,0.69,2,0.000000000000000e+00,2.864896000000001e-04,3.662080000000068e-03,4.981689599999997e-01,5.584120680294178e-03,7.346538291551649e-03,False,True,0.69
0.7,0.7,0.7,1,0.000000000000000e+00,2.133333333333356e-04,4.904000000000001e-01,2.548000000000001e-01,6.938320298810722e-01,9.808000928040559e-01,False,True,0.7
0.7,0.7,0.7,2,0.000000000000000e+00,2.133333333333354e-04,2.577777777777901e-03,4.987111111111112e-01,3.947227187423725e-03,5.173180601029385e-03,False,True,0.7
0.71,0.71,0.71,1,0.000000000000000e+00,1.455104000000012e-04,5.043392177777777e-01,2.478303911111112e-01,7.134491445991176e-01,1.008678477537768e+00,False,True,0.71
0.71,0.71,0.71,2,0.000000000000000e+00,1.455104000000004e-04,1.673102222222250e-03,4.991634488888889e-01,2.571906635049558e-03,3.358835704534053e-03,False,True,0.71
0.72,0.72,0.72,1,0.000000000000000e+00,8.673279999999948e-05,5.185254399999998e-01,2.407372800000000e-01,7.334283683855388e-01,1.037050894507636e+00,False,True,0.72
0.72,0.72,0.72,2,0.000000000000000e+00,8.673279999999936e-05,9.548799999999913e-04,4.995225599999998e-01,1.473062948501378e-03,1.917621853229487e-03,False,True,0.72
0.73,0.73,0.73,1,0.000000000000000e+00,4.062720000000135e-05,5.329518399999998e-01,2.335240800000000e-01,7.537651757569368e-01,1.065903683097033e+00,False,True,0.73
0.73,0.73,0.73,2,0.000000000000000e+00,4.062720000000172e-05,4.307911111111618e-04,4.997846044444446e-01,6.666861691244752e-04,8.654052248333828e-04,False,True,0.73
0.74,0.74,0.74,1,0.000000000000000e+00,1.064959999999827e-05,5.476120177777779e-01,2.261939911111112e-01,7.744554032685838e-01,1.095224035762662e+00,False,True,0.74
0.74,0.74,0.74,2,0.000000000000000e+00,1.064959999999990e-05,1.093688888888222e-04,4.999453155555557e-01,1.697317747221216e-04,2.197723170641429e-04,False,True,0.74
0.75,0.75,0.75,1,0.000000000000000e+00,0.000000000000000e+00,5.624999999999997e-01,2.187499999999999e-01,7.954951288348655e-01,1.124999999999999e+00,False,True,0.75
0.75,0.75,0.75,2,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,4.999999999999998e-01,0.000000000000000e+00,0.000000000000000e+00,False,True,0.75
0.76,0.76,0.76,1,0.000000000000000e+00,1.153706666666659e-05,5.776102399999997e-01,2.111948799999999e-01,8.168805510497278e-01,1.155220480230438e+00,False,True,0.76
0.76,0.76,0.76,2,0.000000000000000e+00,1.153706666666710e-05,1.129244444445510e-04,4.999435377777774e-01,1.760151570069096e-04,2.270245278412145e-04,False,True,0.76
0.77,0.77,0.77,1,0.000000000000000e+00,4.769279999999784e-05,5.929376177777776e-01,2.035311911111110e-01,8.386078685071150e-01,1.185875239391715e+00,False,True,0.77
0.77,0.77,0.77,2,0.000000000000000e+00,4.769279999999802e-05,4.592355555555205e-04,4.997703822222221e-01,7.169049555781181e-04,9.234108482321992e-04,False,True,0.77
0.78,0.78,0.78,1,0.000000000000000e+00,1.103872000000003e-04,6.084774399999999e-01,1.957612799999999e-01,8.606731591214132e-01,1.216954900025942e+00,False,True,0.78
