d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.005,0.005,0.005,0.9,1,8.660161639799995e-01,-8.660161639799995e-01,8.792068009999990e-01,6.039659949999999e-02,2.468117986439699e+00,2.468188481619088e+00,8.056195644799991e-01,9.084319700437293e-02,True,True,True,True,0.005
0.005,0.005,0.005,0.9,2,8.660161639799995e-01,-8.660161639799995e-01,8.792064687777765e-01,6.039676561111108e-02,2.468117516606526e+00,2.468188008248416e+00,8.056193983688877e-01,9.084201055721830e-02,True,True,True,True,0.005
0.005,0.005,0.005,0.95,1,9.141281730899989e-01,-9.141281730899989e-01,9.280502343888881e-01,3.597488280555555e-02,2.605233688167512e+00,2.605308084957424e+00,8.781532902844430e-01,3.651190126862084e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.95,2,9.141281730899992e-01,-9.141281730899992e-01,9.280499021666661e-01,3.597504891666665e-02,2.605233218334340e+00,2.605307611587099e+00,8.781531241733322e-01,3.651175881042910e-01,True,True,True,True,0.005
0.005,0.005,0.005,1.0,1,9.622401821999994e-01,-9.622401821999994e-01,9.768936677777771e-01,1.155316611111110e-02,2.742349389895326e+00,2.742427688297072e+00,9.506870160888879e-01,7.100609665243309e-01,True,True,True,True,0.005
0.005,0.005,0.005,1.0,2,9.622401821999992e-01,-9.622401821999992e-01,9.768933355555546e-01,1.155333222222221e-02,2.742348920062152e+00,2.742427214927058e+00,9.506868499777765e-01,7.100590471229993e-01,True,True,True,True,0.005
0.006,0.006,0.006,0.5,1,4.774123201003516e-01,-4.774123201003516e-01,4.861813291519997e-01,2.569093354239996e-01,1.362727207389258e+00,1.362783633889996e+00,2.205029846763514e-01,,False,True,False,True,0.006
0.006,0.006,0.006,0.5,2,4.774123201003516e-01,-4.774123201003516e-01,4.861807554559991e-01,2.569096222720001e-01,1.362726396060594e+00,1.362782815212118e+00,2.205026978283512e-01,,False,True,False,True,0.006
0.006,0.006,0.006,0.6,1,5.728947841204218e-01,-5.728947841204218e-01,5.834103949823994e-01,2.082948025087998e-01,1.635262466529460e+00,1.635330086124394e+00,3.645999816116215e-01,,False,True,False,True,0.006
0.006,0.006,0.006,0.6,2,5.728947841204218e-01,-5.728947841204218e-01,5.834098212863994e-01,2.082950893567999e-01,1.635261655200796e+00,1.635329267451437e+00,3.645996947636215e-01,,False,True,False,True,0.006
0.006,0.006,0.006,0.7,1,6.683772481404923e-01,-6.683772481404923e-01,6.806394608127997e-01,1.596802695935998e-01,1.907797725669663e+00,1.907876538403254e+00,5.086969785468921e-01,,False,True,False,True,0.006
0.006,0.006,0.006,0.7,2,6.683772481404924e-01,-6.683772481404924e-01,6.806388871167992e-01,1.596805564416000e-01,1.907796914340999e+00,1.907875719733811e+00,5.086966916988920e-01,,False,True,False,True,0.006
0.006,0.006,0.006,0.8,1,7.638597121605625e-01,-7.638597121605625e-01,7.778685266431996e-01,1.110657366783999e-01,2.180332984809866e+00,2.180422990709903e+00,6.527939754821623e-01,-3.625459324826277e-01,True,True,True,True,0.006
0.006,0.006,0.006,0.8,2,7.638597121605623e-01,-7.638597121605623e-01,7.778679529471995e-01,1.110660235263999e-01,2.180332173481202e+00,2.180422172043096e+00,6.527936886341620e-01,-3.625474765650758e-01,True,True,True,True,0.006
0.006,0.006,0.006,0.85,1,8.116009441705977e-01,-8.116009441705977e-01,8.264830595583996e-01,8.675847022079992e-02,2.316600614379967e+00,2.316696216870584e+00,7.248424739497975e-01,-1.627003401080701e-01,True,True,True,True,0.006
0.006,0.006,0.006,0.85,2,8.116009441705976e-01,-8.116009441705976e-01,8.264824858623991e-01,8.675875706879994e-02,2.316599803051303e+00,2.316695398204862e+00,7.248421871017972e-01,-1.627020904381992e-01,True,True,True,True,0.006
0.006,0.006,0.006,0.9,1,8.593421761806327e-01,-8.593421761806327e-01,8.750975924735993e-01,6.245120376319992e-02,2.452868243950068e+00,2.452969443035078e+00,7.968909724174323e-01,6.575220487418920e-02,True,True,True,True,0.006
0.006,0.006,0.006,0.9,2,8.593421761806329e-01,-8.593421761806329e-01,8.750970187775990e-01,6.245149061119996e-02,2.452867432621404e+00,2.452968624370322e+00,7.968906855694324e-01,6.575018693141321e-02,True,True,True,True,0.006
0.006,0.006,0.006,0.95,1,9.070834081906679e-01,-9.070834081906679e-01,9.237121253887988e-01,3.814393730560000e-02,2.589135873520169e+00,2.589242669202784e+00,8.689394708850673e-01,3.333871050675373e-01,True,True,True,True,0.006
0.006,0.006,0.006,0.95,2,9.070834081906680e-01,-9.070834081906680e-01,9.237115516927989e-01,3.814422415359998e-02,2.589135062191505e+00,2.589241850538892e+00,8.689391840370675e-01,3.333846973070285e-01,True,True,True,True,0.006
0.006,0.006,0.006,1.0,1,9.548246402007031e-01,-9.548246402007031e-01,9.723266583039993e-01,1.383667084799999e-02,2.725403503090271e+00,2.725515895373222e+00,9.409879693527028e-01,6.657064892277652e-01,True,True,True,True,0.006
0.006,0.006,0.006,1.0,2,9.548246402007032e-01,-9.548246402007032e-01,9.723260846079989e-01,1.383695769599999e-02,2.725402691761607e+00,2.725515076710106e+00,9.409876825047027e-01,6.657033214072072e-01,True,True,True,True,0.006
0.007,0.007,0.007,0.5,1,4.737270495971306e-01,-4.737270495971306e-01,4.839133239120002e-01,2.580433380440000e-01,1.354308004092649e+00,1.354384616834616e+00,2.156837115531307e-01,,False,True,False,True,0.007
0.007,0.007,0.007,0.5,2,4.737270495971306e-01,-4.737270495971306e-01,4.839124135137775e-01,2.580437932431112e-01,1.354306716595135e+00,1.354383315716391e+00,2.156832563540193e-01,,False,True,False,True,0.007
0.007,0.007,0.007,0.6,1,5.684724595165564e-01,-5.684724595165564e-01,5.806861886943996e-01,2.096569056528000e-01,1.625155745618266e+00,1.625247534339592e+00,3.588155538637562e-01,,False,True,False,True,0.007
0.007,0.007,0.007,0.6,2,5.684724595165567e-01,-5.684724595165567e-01,5.806852782961774e-01,2.096573608519111e-01,1.625154458120754e+00,1.625246233232014e+00,3.588150986646454e-01,,False,True,False,True,0.007
0.007,0.007,0.007,0.7,1,6.632178694359828e-01,-6.632178694359828e-01,6.774590534767997e-01,1.612704732615999e-01,1.896003487143885e+00,1.896110451927193e+00,5.019473961743827e-01,,False,True,False,True,0.007
0.007,0.007,0.007,0.7,2,6.632178694359827e-01,-6.632178694359827e-01,6.774581430785775e-01,1.612709284607111e-01,1.896002199646373e+00,1.896109150827218e+00,5.019469409752715e-01,,False,True,False,True,0.007
0.007,0.007,0.007,0.8,1,7.579632793554086e-01,-7.579632793554086e-01,7.742319182591993e-01,1.128840408704000e-01,2.166851228669503e+00,2.166973369566433e+00,6.450792384850084e-01,-3.792651607661244e-01,True,True,True,True,0.007
0.007,0.007,0.007,0.8,2,7.579632793554089e-01,-7.579632793554089e-01,7.742310078609776e-01,1.128844960695111e-01,2.166849941171991e+00,2.166972068472163e+00,6.450787832858977e-01,-3.792675861178756e-01,True,True,True,True,0.007
0.007,0.007,0.007,0.85,1,8.053359843151219e-01,-8.053359843151219e-01,8.226183506504001e-01,8.869082467479993e-02,2.302275099432314e+00,2.302404828399724e+00,7.166451596403219e-01,-1.828384076946581e-01,True,True,True,True,0.007
0.007,0.007,0.007,0.85,2,8.053359843151219e-01,-8.053359843151219e-01,8.226174402521776e-01,8.869127987391111e-02,2.302273811934800e+00,2.302403527307801e+00,7.166447044412108e-01,-1.828411522805510e-01,True,True,True,True,0.007
0.007,0.007,0.007,0.9,1,8.527086892748351e-01,-8.527086892748351e-01,8.710047830415997e-01,6.449760847919998e-02,2.437698970195123e+00,2.437836287240102e+00,7.882110807956350e-01,4.118117312657865e-02,True,True,True,True,0.007
0.007,0.007,0.007,0.9,2,8.527086892748349e-01,-8.527086892748349e-01,8.710038726433776e-01,6.449806367831110e-02,2.437697682697610e+00,2.437834986150267e+00,7.882106255965238e-01,4.117801790271647e-02,True,True,True,True,0.007
0.007,0.007,0.007,0.95,1,9.000813942345481e-01,-9.000813942345481e-01,9.193912154328001e-01,4.030439228360003e-02,2.573122840957932e+00,2.573267746086450e+00,8.597770019509482e-01,3.025088058180546e-01,True,True,True,True,0.007
0.007,0.007,0.007,0.95,2,9.000813942345480e-01,-9.000813942345480e-01,9.193903050345777e-01,4.030484748271114e-02,2.573121553460419e+00,2.573266444998482e+00,8.597765467518369e-01,3.025050625869939e-01,True,True,True,True,0.007
0.007,0.007,0.007,1.0,1,9.474540991942612e-01,-9.474540991942612e-01,9.677776478239996e-01,1.611117608799999e-02,2.708546711720741e+00,2.708699204937870e+00,9.313429231062609e-01,6.234694707990681e-01,True,True,True,True,0.007
0.007,0.007,0.007,1.0,2,9.474540991942612e-01,-9.474540991942612e-01,9.677767374257777e-01,1.611163128711111e-02,2.708545424223228e+00,2.708697903851584e+00,9.313424679071500e-01,6.234646400502206e-01,True,True,True,True,0.007
0.008,0.008,0.008,0.5,1,4.700641788559359e-01,-4.700641788559359e-01,4.816552996408885e-01,2.591723501795555e-01,1.345934594064858e+00,1.346034412510556e+00,2.108918286763801e-01,,False,True,False,True,0.008
0.008,0.008,0.008,0.5,2,4.700641788559358e-01,-4.700641788559358e-01,4.816539415893333e-01,2.591730292053332e-01,1.345932673489930e+00,1.346032468690181e+00,2.108911496506025e-01,,False,True,False,True,0.008
0.008,0.008,0.008,0.6,1,5.640770146271229e-01,-5.640770146271229e-01,5.779735595690662e-01,2.110132202154666e-01,1.615103410944231e+00,1.615222974070867e+00,3.530637944116560e-01,,False,True,False,True,0.008
0.008,0.008,0.008,0.6,2,5.640770146271228e-01,-5.640770146271228e-01,5.779722015175109e-01,2.110138992412444e-01,1.615101490369303e+00,1.615221030271270e+00,3.530631153858783e-01,,False,True,False,True,0.008
0.008,0.008,0.008,0.7,1,6.580898503983104e-01,-6.580898503983104e-01,6.742918194972440e-01,1.628540902513777e-01,1.884272227823605e+00,1.884411535772560e+00,4.952357601469324e-01,,False,True,False,True,0.008
