d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.01,0.01,0.01,0.98,1,9.070982609919999e-01,-9.070982609919999e-01,9.351554751999994e-01,3.242226240000001e-02,2.605340219055231e+00,2.605642352965001e+00,8.746759985919996e-01,3.823882916558634e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.98,2,9.070982609919999e-01,-9.070982609919999e-01,9.351528263111107e-01,3.242358684444446e-02,2.605336472960639e+00,2.605638550261620e+00,8.746746741475553e-01,3.823767266047760e-01,True,True,True,True,0.01
0.01,0.01,0.01,1.0,1,9.256104703999996e-01,-9.256104703999996e-01,9.542382399999996e-01,2.288088000000000e-02,2.658507541457251e+00,2.658815797750875e+00,9.027295903999993e-01,5.068278138488619e-01,True,True,True,True,0.01
0.01,0.01,0.01,1.0,2,9.256104703999996e-01,-9.256104703999996e-01,9.542355911111107e-01,2.288220444444445e-02,2.658503795362659e+00,2.658811995051384e+00,9.027282659555549e-01,5.068150736523517e-01,True,True,True,True,0.01
0.015,0.015,0.015,0.5,1,4.450428773000002e-01,-4.450428773000002e-01,4.661270450000003e-01,2.669364775000000e-01,1.288588861743100e+00,1.288933799255641e+00,1.781063998000004e-01,,False,True,False,True,0.015
0.015,0.015,0.015,0.5,2,4.450428773000003e-01,-4.450428773000003e-01,4.661181350000004e-01,2.669409325000000e-01,1.288576261100259e+00,1.288920910547023e+00,1.781019448000005e-01,,False,True,False,True,0.015
0.015,0.015,0.015,0.52,1,4.628445923920001e-01,-4.628445923920001e-01,4.847631268000002e-01,2.576184366000001e-01,1.340119688290762e+00,1.340478132326566e+00,2.052261557920002e-01,,False,True,False,True,0.015
0.015,0.015,0.015,0.52,2,4.628445923920000e-01,-4.628445923920000e-01,4.847542168000000e-01,2.576228916000001e-01,1.340107087647921e+00,1.340465243729800e+00,2.052217007920001e-01,,False,True,False,True,0.015
0.015,0.015,0.015,0.54,1,4.806463074840001e-01,-4.806463074840001e-01,5.033992086000005e-01,2.483003957000000e-01,1.391650514838425e+00,1.392022465504218e+00,2.323459117840003e-01,,False,True,False,True,0.015
0.015,0.015,0.015,0.54,2,4.806463074840002e-01,-4.806463074840002e-01,5.033902986000004e-01,2.483048507000001e-01,1.391637914195584e+00,1.392009577011023e+00,2.323414567840004e-01,,False,True,False,True,0.015
