d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.0054,0.0054,0.0054,1,9.592685523625093e-01,-9.592685523625093e-01,9.750647017356538e-01,1.246764913217279e-02,2.735560322094904e+00,2.735651533454145e+00,6.920417261484926e-01,True,True,unmasked,True,0.0054
0.0054,0.0054,0.0054,2,9.592685523625093e-01,-9.592685523625093e-01,9.750642833433079e-01,1.246785832834560e-02,2.735559730398774e+00,2.735650936946059e+00,6.920393540974039e-01,True,True,unmasked,True,0.0054
0.0055,0.0055,0.0055,1,9.585267734613214e-01,-9.585267734613214e-01,9.746079108489993e-01,1.269604457549999e-02,2.733865288445487e+00,2.733959879245943e+00,6.875964401741685e-01,True,True,unmasked,True,0.0055
0.0055,0.0055,0.0055,2,9.585267734613215e-01,-9.585267734613215e-01,9.746074688091104e-01,1.269626559544444e-02,2.733864663306681e+00,2.733959248928683e+00,6.875939454305982e-01,True,True,unmasked,True,0.0055
0.0056,0.0056,0.0056,1,9.577854455791381e-01,-9.577854455791381e-01,9.741513001376882e-01,1.292434993115591e-02,2.732171147439677e+00,2.732269178044635e+00,6.831741075639470e-01,True,True,unmasked,True,0.0056
0.0056,0.0056,0.0056,2,9.577854455791379e-01,-9.577854455791379e-01,9.741508335767097e-01,1.292458321164516e-02,2.732170487622813e+00,2.732268512662272e+00,6.831714862176922e-01,True,True,unmasked,True,0.0056
0.0057,0.0057,0.0057,1,9.570445685139258e-01,-9.570445685139258e-01,9.736948695646218e-01,1.315256521768879e-02,2.730477898739290e+00,2.730579429453369e+00,6.787743269501847e-01,True,True,unmasked,True,0.0057
0.0057,0.0057,0.0057,2,9.570445685139258e-01,-9.570445685139258e-01,9.736943775932438e-01,1.315281120337759e-02,2.730477202986695e+00,2.730578727726927e+00,6.787715750426697e-01,True,True,unmasked,True,0.0057
0.0058,0.0058,0.0058,1,9.563041420637154e-01,-9.563041420637154e-01,9.732386190927100e-01,1.338069045364480e-02,2.728785542006246e+00,2.728890633075429e+00,6.743967109726292e-01,True,True,unmasked,True,0.0058
0.0058,0.0058,0.0058,2,9.563041420637154e-01,-9.563041420637154e-01,9.732381008058650e-01,1.338094959706738e-02,2.728784809037961e+00,2.728889893702878e+00,6.743938244973054e-01,True,True,unmasked,True,0.0058
0.0059,0.0059,0.0059,1,9.555641660265926e-01,-9.555641660265926e-01,9.727825486848641e-01,1.360872565756791e-02,2.727094076902544e+00,2.727202788514207e+00,6.700408855545101e-01,True,True,unmasked,True,0.0059
0.0059,0.0059,0.0059,2,9.555641660265923e-01,-9.555641660265923e-01,9.727820031617286e-01,1.360899841913582e-02,2.727093305416326e+00,2.727202010170455e+00,6.700378604572369e-01,True,True,unmasked,True,0.0059
0.006,0.006,0.006,1,9.548246402007031e-01,-9.548246402007031e-01,9.723266583039993e-01,1.383667084799999e-02,2.725403503090271e+00,2.725515895373222e+00,6.657064892277652e-01,True,True,unmasked,True,0.006
0.006,0.006,0.006,2,9.548246402007032e-01,-9.548246402007032e-01,9.723260846079989e-01,1.383695769599999e-02,2.725402691761607e+00,2.725515076710106e+00,6.657033214072072e-01,True,True,unmasked,True,0.006
0.0061,0.0061,0.0061,1,9.540855643842551e-01,-9.540855643842551e-01,9.718709479130383e-01,1.406452604348080e-02,2.723713820231617e+00,2.723829953256121e+00,6.613931725032364e-01,True,True,unmasked,True,0.0061
0.0061,0.0061,0.0061,2,9.540855643842552e-01,-9.540855643842552e-01,9.718703450918539e-01,1.406482745407271e-02,2.723712967713722e+00,2.723829092902403e+00,6.613898578112332e-01,True,True,unmasked,True,0.0061
