d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
5.300000000000000e-02,5.300000000000000e-02,5.300000000000000e-02,3.745333333333333e-03,3.745333333333302e-03,3.745333333333239e-03,3.745333333333489e-03,3.745333333333489e-03,3.745333333333434e-03,5.009363333333333e-01,3.745333333333531e-03,True,5.300000000000000e-02
5.400000000000000e-02,5.400000000000000e-02,5.400000000000000e-02,3.888000000000000e-03,3.887999999999947e-03,3.888000000000169e-03,3.888000000000114e-03,3.888000000000114e-03,3.887999999999947e-03,5.009720000000000e-01,3.888000000000279e-03,True,5.400000000000000e-02
5.500000000000000e-02,5.500000000000000e-02,5.500000000000000e-02,4.033333333333333e-03,4.033333333333333e-03,4.033333333333458e-03,4.033333333333389e-03,4.033333333333389e-03,4.033333333333167e-03,5.010083333333333e-01,4.033333333333611e-03,True,5.500000000000000e-02
5.600000000000000e-02,5.600000000000000e-02,5.600000000000000e-02,4.181333333333334e-03,4.181333333333356e-03,4.181333333333356e-03,4.181333333333370e-03,4.181333333333370e-03,4.181333333333258e-03,5.010453333333333e-01,4.181333333333703e-03,True,5.600000000000000e-02
5.700000000000000e-02,5.700000000000000e-02,5.700000000000000e-02,4.332000000000000e-03,4.332000000000003e-03,4.331999999999780e-03,4.332000000000114e-03,4.332000000000114e-03,4.331999999999836e-03,5.010829999999999e-01,4.332000000000391e-03,True,5.700000000000000e-02
5.800000000000000e-02,5.800000000000000e-02,5.800000000000000e-02,4.485333333333333e-03,4.485333333333286e-03,4.485333333333619e-03,4.485333333333397e-03,4.485333333333397e-03,4.485333333333508e-03,5.011213333333333e-01,4.485333333333676e-03,True,5.800000000000000e-02
5.900000000000000e-02,5.900000000000000e-02,5.900000000000000e-02,4.641333333333333e-03,4.641333333333303e-03,4.641333333333289e-03,4.641333333333331e-03,4.641333333333331e-03,4.641333333333553e-03,5.011603333333333e-01,4.641333333333553e-03,True,5.900000000000000e-02
6.000000000000000e-02,6.000000000000000e-02,6.000000000000000e-02,4.800000000000000e-03,4.799999999999964e-03,4.799999999999957e-03,4.800000000000082e-03,4.800000000000082e-03,4.799999999999915e-03,5.012000000000000e-01,4.800000000000304e-03,True,6.000000000000000e-02
6.100000000000000e-02,6.100000000000000e-02,6.100000000000000e-02,4.961333333333333e-03,4.961333333333345e-03,4.961333333333137e-03,4.961333333333429e-03,4.961333333333429e-03,4.961333333333429e-03,5.012403333333333e-01,4.961333333333651e-03,True,6.100000000000000e-02
6.200000000000000e-02,6.200000000000000e-02,6.200000000000000e-02,5.125333333333333e-03,5.125333333333378e-03,5.125333333333384e-03,5.125333333333371e-03,5.125333333333371e-03,5.125333333333426e-03,5.012813333333334e-01,5.125333333333648e-03,True,6.200000000000000e-02
6.300000000000000e-02,6.300000000000000e-02,6.300000000000000e-02,5.292000000000001e-03,5.292000000000040e-03,5.292000000000047e-03,5.291999999999963e-03,5.291999999999963e-03,5.291999999999852e-03,5.013230000000000e-01,5.292000000000463e-03,True,6.300000000000000e-02
6.400000000000000e-02,6.400000000000000e-02,6.400000000000000e-02,5.461333333333333e-03,5.461333333333325e-03,5.461333333333443e-03,5.461333333333318e-03,5.461333333333318e-03,5.461333333333540e-03,5.013653333333333e-01,5.461333333333679e-03,True,6.400000000000000e-02
6.500000000000000e-02,6.500000000000000e-02,6.500000000000000e-02,5.633333333333334e-03,5.633333333333351e-03,5.633333333333254e-03,5.633333333333324e-03,5.633333333333324e-03,5.633333333333324e-03,5.014083333333333e-01,5.633333333333657e-03,True,6.500000000000000e-02
6.600000000000000e-02,6.600000000000000e-02,6.600000000000000e-02,5.808000000000001e-03,5.808000000000021e-03,5.807999999999938e-03,5.808000000000035e-03,5.808000000000035e-03,5.808000000000091e-03,5.014520000000000e-01,5.808000000000259e-03,True,6.600000000000000e-02
6.700000000000000e-02,6.700000000000000e-02,6.700000000000000e-02,5.985333333333335e-03,5.985333333333308e-03,5.985333333333398e-03,5.985333333333231e-03,5.985333333333231e-03,5.985333333333120e-03,5.014963333333333e-01,5.985333333333731e-03,True,6.700000000000000e-02
6.800000000000000e-02,6.800000000000000e-02,6.800000000000000e-02,6.165333333333334e-03,6.165333333333349e-03,6.165333333333203e-03,6.165333333333300e-03,6.165333333333300e-03,6.165333333333411e-03,5.015413333333333e-01,6.165333333333689e-03,True,6.800000000000000e-02
6.900000000000001e-02,6.900000000000001e-02,6.900000000000001e-02,6.348000000000000e-03,6.348000000000013e-03,6.347999999999909e-03,6.348000000000187e-03,6.348000000000187e-03,6.348000000000187e-03,5.015870000000000e-01,6.348000000000270e-03,True,6.900000000000001e-02
7.000000000000001e-02,7.000000000000001e-02,7.000000000000001e-02,6.533333333333335e-03,6.533333333333315e-03,6.533333333333446e-03,6.533333333333335e-03,6.533333333333335e-03,6.533333333333223e-03,5.016333333333334e-01,6.533333333333558e-03,True,7.000000000000001e-02
7.099999999999999e-02,7.099999999999999e-02,7.099999999999999e-02,6.721333333333333e-03,6.721333333333343e-03,6.721333333333218e-03,6.721333333333412e-03,6.721333333333412e-03,6.721333333332968e-03,5.016803333333333e-01,6.721333333333537e-03,True,7.099999999999999e-02
7.199999999999999e-02,7.199999999999999e-02,7.199999999999999e-02,6.911999999999999e-03,6.912000000000008e-03,6.911999999999821e-03,6.911999999999918e-03,6.911999999999918e-03,6.912000000000196e-03,5.017280000000000e-01,6.912000000000307e-03,True,7.199999999999999e-02
