p,scenario,trial,seed,n_transmissions,sifted_bits,qber,reference_qber,difference_from_reference
0.05,single,9,1287094719,1000,483,0.035196687370600416,0.03333333333333323,0.001863354037267187
0.05,single,10,202915831,1000,529,0.026465028355387523,0.03333333333333323,-0.006868304977945706
0.05,single,11,3738863473,1000,503,0.033797216699801194,0.03333333333333323,0.00046388336646796535
0.05,single,12,506115304,1000,517,0.027079303675048357,0.03333333333333323,-0.006254029658284872
0.05,single,13,3233618267,1000,490,0.0326530612244898,0.03333333333333323,-0.0006802721088434299
0.05,single,14,3488946165,1000,499,0.03206412825651302,0.03333333333333323,-0.0012692050768202054
0.05,single,15,640812623,1000,527,0.03415559772296015,0.03333333333333323,0.0008222643896269241
0.05,single,16,2472041614,1000,483,0.039337474120082816,0.03333333333333323,0.006004140786749587
0.05,single,17,418210093,1000,514,0.019455252918287938,0.03333333333333323,-0.01387808041504529
0.05,single,18,2044226099,1000,496,0.028225806451612902,0.03333333333333323,-0.005107526881720326
0.05,single,19,4223243877,1000,523,0.028680688336520075,0.03333333333333323,-0.004652644996813154
0.05,single,20,2066711792,1000,483,0.031055900621118012,0.03333333333333323,-0.0022774327122152167
0.05,single,21,103444619,1000,497,0.04225352112676056,0.03333333333333323,0.008920187793427334
0.05,single,22,4051905477,1000,497,0.04426559356136821,0.03333333333333323,0.010932260228034979
0.05,single,23,2783045512,1000,496,0.038306451612903226,0.03333333333333323,0.004973118279569998
0.05,single,24,2190511621,1000,507,0.03353057199211045,0.03333333333333323,0.00019723865877722263
0.05,single,25,3986511465,1000,514,0.04474708171206226,0.03333333333333323,0.011413748378729029
0.05,single,26,1610102409,1000,481,0.033264033264033266,0.03333333333333323,-6.930006929996291e-05
0.05,single,27,297188421,1000,484,0.024793388429752067,0.03333333333333323,-0.008539944903581162
0.05,single,28,499162315,1000,518,0.02895752895752896,0.03333333333333323,-0.00437580437580427
0.05,single,29,3638990691,1000,495,0.03434343434343434,0.03333333333333323,0.0010101010101011137
0.05,single,30,240943043,1000,500,0.028,0.03333333333333323,-0.005333333333333228
0.05,single,31,3128983712,1000,492,0.042682926829268296,0.03333333333333323,0.009349593495935067
0.05,single,32,1562100451,1000,498,0.0321285140562249,0.03333333333333323,-0.0012048192771083321
0.05,single,33,967296494,1000,527,0.04364326375711575,0.03333333333333323,0.010309930423782518
0.05,single,34,704606103,1000,525,0.0380952380952381,0.03333333333333323,0.00476190476190487
0.05,single,35,1661106456,1000,503,0.013916500994035786,0.03333333333333323,-0.019416832339297443
0.05,single,36,1717712697,1000,519,0.036608863198458574,0.03333333333333323,0.0032755298651253456
0.05,single,37,1231989569,1000,546,0.02197802197802198,0.03333333333333323,-0.011355311355311249
0.05,single,38,3467215438,1000,510,0.03333333333333333,0.03333333333333323,1.0408340855860843e-16
0.05,single,39,3390228429,1000,508,0.03740157480314961,0.03333333333333323,0.0040682414698163805
0.05,single,40,232654730,1000,507,0.021696252465483234,0.03333333333333323,-0.011637080867849994
0.05,single,41,2909951655,1000,502,0.025896414342629483,0.03333333333333323,-0.007436918990703745
0.05,single,42,653841296,1000,508,0.03346456692913386,0.03333333333333323,0.00013123359580063249
0.05,single,43,3213970336,1000,513,0.03898635477582846,0.03333333333333323,0.005653021442495229
0.05,single,44,786194933,1000,496,0.05443548387096774,0.03333333333333323,0.021102150537634513
0.05,single,45,63518783,1000,514,0.0311284046692607,0.03333333333333323,-0.002204928664072528
0.05,single,46,3816686330,1000,487,0.03285420944558522,0.03333333333333323,-0.00047912388774801196
0.05,single,47,626386911,1000,496,0.04435483870967742,0.03333333333333323,0.011021505376344193
0.05,single,48,604895210,1000,539,0.03710575139146568,0.03333333333333323,0.00377241805813245
0.05,single,49,852897913,1000,518,0.052123552123552123,0.03333333333333323,0.018790218790218895
0.05,single,50,4200207184,1000,480,0.03125,0.03333333333333323,-0.002083333333333229
0.06,single,1,1995247107,1000,504,0.0496031746031746,0.04000000000000005,0.009603174603174551
0.06,single,2,428423340,1000,485,0.049484536082474224,0.04000000000000005,0.009484536082474175
